"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,"Reactions, comments and shares",Reactions,Comments,Shares,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
1371600128344815,100064845214824,Westside,"YNG Fresh Face – The Kala Ghoda Edit.","YNG Fresh Face – The Kala Ghoda Edit.",22,"02/03/2026 05:49",N/A,https://www.facebook.com/reel/701031776307552/,0,0,Videos,,,,,02/03/2026,8,8,0,0,1566.794,2.125,0,0,0
1371288915042603,100064845214824,Westside,"Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.","Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.",15,"02/02/2026 21:29",N/A,https://www.facebook.com/reel/2562181157530357/,0,0,Videos,,,,,01/28/2026,0,0,0,0,0,0,0,0,0
1371288915042603,100064845214824,Westside,"Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.","Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.",15,"02/02/2026 21:29",N/A,https://www.facebook.com/reel/2562181157530357/,0,0,Videos,,,,,01/29/2026,0,0,0,0,0,0,0,0,0
1371288915042603,100064845214824,Westside,"Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.","Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.",15,"02/02/2026 21:29",N/A,https://www.facebook.com/reel/2562181157530357/,0,0,Videos,,,,,01/30/2026,0,0,0,0,0,0,0,0,0
1371288915042603,100064845214824,Westside,"Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.","Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.",15,"02/02/2026 21:29",N/A,https://www.facebook.com/reel/2562181157530357/,0,0,Videos,,,,,01/31/2026,0,0,0,0,0,0,0,0,0
1371288915042603,100064845214824,Westside,"Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.","Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.",15,"02/02/2026 21:29",N/A,https://www.facebook.com/reel/2562181157530357/,0,0,Videos,,,,,02/01/2026,0,0,0,0,0,0,0,0,0
1371288915042603,100064845214824,Westside,"Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.","Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.",15,"02/02/2026 21:29",N/A,https://www.facebook.com/reel/2562181157530357/,0,0,Videos,,,,,02/02/2026,2,2,0,0,319.863,2.118,0,0,0
1371288915042603,100064845214824,Westside,"Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.","Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.",15,"02/02/2026 21:29",N/A,https://www.facebook.com/reel/2562181157530357/,0,0,Videos,,,,,02/03/2026,11,11,0,0,1749.08,1.96,0,0,0
1370760321762129,100064845214824,Westside,"Chapter 3: Delusions of grandeur.","Chapter 3: Delusions of grandeur.",66,"02/02/2026 06:19",N/A,https://www.facebook.com/reel/1784031305617317/,1,0,Videos,,,,,01/28/2026,0,0,0,0,0,0,0,0,0
1370760321762129,100064845214824,Westside,"Chapter 3: Delusions of grandeur.","Chapter 3: Delusions of grandeur.",66,"02/02/2026 06:19",N/A,https://www.facebook.com/reel/1784031305617317/,1,0,Videos,,,,,01/29/2026,0,0,0,0,0,0,0,0,0
